,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
Austria,-0.452010422892909,-0.772769239375088,0.4371204467586864,0.2983183794929254,-0.26802160810127074,-0.758820463302196,-1.24754933050277,0.6046434757014867,0.05988324096986232,-0.8760000908259913,0.24308004431568328,-1.522346423967185
Belgium,-0.6158300055253738,-0.6868730070435671,0.3181711730345297,0.17050918323962438,-0.5317469263590235,0.17474818392846447,1.3725869295744306,0.357615856351915,-1.4703110643811126,0.7036866884477433,0.014434459904585459,-0.39491753447838746
Bulgaria,2.1113804381743804,0.6655821475776762,0.40628423357038623,0.8698794748110951,1.4730709897910932,0.015028601301574419,0.5250127073890151,-0.8129909796379946,0.040064196710889906,0.6227720192268485,-0.4044619837375422,-1.6811739171138689
Croatia,0.7181370759712897,-0.2222958466966696,-2.7123041978493405,0.2992681088891869,0.8931736424863933,0.19337066774862616,-0.16536803092012553,0.4942683036912945,-1.7105837472272198,-0.6978444963720685,0.97962369805583,1.1771985533476375
Cyprus,0.12230727574244371,-0.6936509907232481,0.6871319456695111,0.3101714247507743,0.3782237141127477,1.3749704977011432,1.6450139821978942,-1.0576578118372877,-2.1100596631671236,0.04964463578608383,-0.23172967925741586,-0.1872430775240339
Czechia,0.011103967064192723,1.2790317717925608,-1.0813486682659434,1.0169415538315827,-1.0885017932291796,-0.5740534572431036,0.04525325067641915,1.786888727569919,0.7893778097080616,-0.5013353779082376,-1.8074429594309143,-0.7208107304220963
Denmark,-1.2486040908173839,-0.43848445530867003,0.5519526272073297,-0.7968733502756455,0.7654862681102245,-1.0304133368220785,0.5631755522920379,0.47949379194057207,-0.861426359595301,-0.2550537256940766,-0.9766185697530789,-1.506514816956196
Estonia,-0.6878682462042732,0.1626307821561016,-0.7857533776491107,-1.1984298434614704,0.18637056265107851,-0.9309495444617056,0.7094525305503945,-0.5127331637694069,0.2786881538562998,-1.574376479216261,0.3479554885869327,-0.7084484334018484
Finland,-0.9814980731588008,0.7117658100922585,-0.8241283170981087,-1.319288403225248,1.7100892599395154,-0.6097009555345422,-0.4832340417435605,-0.3452259772885727,-0.1508324477722337,-1.0913755486744932,0.1929378680778294,0.11745393929955203
France,-0.25199777280300883,1.194764255714534,0.19926901083504575,-0.40855527558919236,-0.5518620151362515,1.5938637019064699,1.5033540838254136,2.076683817918409,-0.1513043413328942,1.2206956730075296,0.9494340109697995,0.978260420228864
Germany,-0.22060737144556677,1.3985064560274012,0.8011671945859534,0.49356719949798816,-0.8549765566257758,-1.3262362064655475,-1.2145331557113674,0.2012583513826406,-2.073078717258327,0.05008603760786578,-1.5291684786921063,1.0567479047955188
Greece,1.166021015454195,-2.221933717766238,-1.1350092266098566,-0.5539945879128912,0.5186067242773272,1.3711698572737856,-1.0784679120583482,0.1973422757780179,0.8617852041482973,0.8833803998018299,-1.8441173547479257,0.45310013788335
Hungary,0.4852016378788528,-0.18673434576312972,0.7738512771099507,-0.17154766422744533,-1.1875293983985427,-2.225101326628336,-0.32883870187725284,-1.5571702630871036,-0.4266593324724835,1.1878828330237143,0.6705851281689322,1.0233938283541508
Ireland,-0.6742887509460777,1.0791873932337621,0.19695037667193768,-0.5513651453021681,-2.1323411947801185,2.0636724108433824,-0.4838398986657653,-1.2244579053414317,0.5467041427283166,-1.8496237747979436,1.1015310162836676,-0.10956979112607376
Italy,1.161996860006271,-0.33786212873815363,0.6714017420774766,-2.966740470312735,-0.4004844206494698,-0.17064467166672473,-1.3389697552136925,1.8910718439718415,-0.08674300908680938,0.9563532783651013,1.1106114076248508,-0.522047115562818
Latvia,-0.04107403009032727,-0.7004840601626493,-0.4104469794258834,0.09864214117983026,-0.5325052757531256,-0.5895085068352558,1.4447384838117463,-0.7195741827574533,0.25073621547795694,0.2882601196216436,-0.10938934964093813,1.0019859951820713
Lithuania,-0.1121369436393345,-1.3095186275002921,-0.7379272421880748,0.8331280190655087,-0.8975288221306884,-0.3633525131312351,0.2548772546349206,-0.8394506305760945,1.2875074959451662,-0.2387683946564685,0.957930029544395,-0.5546622178332343
Luxembourg,-0.870206551534416,-1.4279424996388528,1.7874959229384477,1.2917420546574538,0.9029609990722115,1.3957216076973624,-1.9444157535015414,0.37048275318774887,-0.8176550783433875,-1.2183631775180634,0.23836493518601073,0.6754271393257465
Malta,-0.06388475173424002,-0.7438372290276635,1.3522297614980818,1.9133677584755873,0.19352217765286514,-0.8339159110415847,0.9761419843787421,1.901161792605746,1.4650358861371924,-0.30024301456819735,1.1171336186722,0.09437283518219812
Netherlands,-1.0991355385313046,1.8681798904961497,0.43575110317021676,0.706952111297808,1.024875403951961,0.7921895259476155,-1.4830535452693099,-1.052311422054146,1.0560331751440957,2.0851067289028316,-0.08156176010034914,0.022499953573832797
Poland,-0.03740099098554295,-0.8588625831195997,-0.9856517167427539,0.572715387769806,-0.9853776891716357,-0.5502727710806276,-0.9669907246809909,-0.6906241293553618,-0.07557784424483761,1.4219061278876122,1.3268296073410104,-0.04096920509505193
Portugal,-0.1851772352171866,-0.5948164354225981,-0.08505965529860891,-0.26121764076806414,-0.6486018249626229,0.04520673710679734,0.205851506762516,-0.2554237110032902,1.1553032283520914,-0.6302632582847032,-2.224719733060316,1.3112635457398416
Romania,2.790177589948364,1.126637786380534,0.9714692663336925,0.047132112980883344,0.7516088035399225,-0.3748036181294658,0.17412675955004178,-0.17450009601008762,0.5888144849779349,-1.6414013718433136,0.4140751916536196,1.6090631476053976
Slovakia,0.8811184199168041,0.8908623755774385,-0.8588495322519337,0.8301220147683364,0.25274935602930365,0.47523754191623613,-0.2812403623566693,-0.2861510628536411,-0.25418566393725245,0.08949268216080142,0.4992414695458016,-2.115324731282781
Slovenia,-0.6444196580847776,0.6984450164915261,-1.2857037818857475,0.4834983048798312,-0.567382065619195,0.5043384989496842,-0.0008705486913743638,0.33045903968123336,-0.08347103522833442,0.5176738186979101,-0.4284006021313982,0.21192408211643937
Spain,0.4009793063416884,-0.05127674600567862,1.282382163678197,-1.4344870325719818,-0.5756707762253547,0.7539991422377585,0.8781856217033942,-0.9446819577093355,0.6008830883446071,0.19329611890129392,-1.0227503242408544,-0.756760361449648
Sweden,-1.6622831528879742,0.17174822675216628,0.0295544501259432,-0.5734558159413575,2.1717924655275462,-0.41574369221651253,0.7196011138458057,-0.21841673649959126,1.2910719815466087,0.6044115489211153,0.49659282086178974,1.0880968735787722
